File,Latitude Start,Longitude Start,Depth,Size Fraction Lower Threshold,Size Fraction Upper Threshold,Temperature,Salinity Sensor,Oxygen Sensor,Nitrate Sensor,Chlorophyll Sensor
ERR562597,-25.8162,-111.7349,180,20,180,20.325407,35.874018,212.877257,0.178539,0.138077
ERR562623,14.5536,70.0128,60,5,20,27.117663,36.496162,148.328125,-0.224514,0.47554
ERR562484,39.8312,17.3952,5,180,2000,17.333408,37.8603,221.516083,,0.231401
ERR562421,-16.9587,-100.6751,90,5,20,19.881449,35.687249,211.54555,1.411516,0.378549
ERR562438,-35.2351,26.3022,5,20,180,21.815767,,206.596083,,0.193182
ERR562688,14.5566,70.0107,70,180,2000,25.12668,36.21833,67.5342,12.570654,0.325434
ERR562658,39.0609,5.9422,55,5,20,16.151933,37.8232,,,0.434367
ERR562456,18.5918,66.622,5,5,20,26.81765,36.285367,193.3535,-1.415582,0.099089
ERR562405,39.5705,17.4101,30,0.8,5,17.256933,38.116167,220.987333,,0.228614
ERR562401,-8.7296,-17.9604,100,0.8,5,24.112672,36.603343,194.428431,0.241265,0.263939
ERR562430,-16.9616,53.9541,5,5,20,27.933337,34.559913,191.885458,0.244232,0.186783
ERR562399,-16.9534,53.9601,75,0.8,5,24.89426,34.910755,192.55925,0.244232,0.394226
ERR562713,20.8183,63.5047,5,5,20,25.581433,36.530058,104.908417,,0.129697
ERR562488,-35.2421,26.3048,30,0.8,5,21.81495,,206.43725,,0.272648
ERR562526,18.5667,66.522,5,20,180,26.81765,36.285367,193.3535,-1.415582,0.099089
ERR562615,21.9467,38.2517,5,20,180,27.329517,38.937417,182.812167,-0.000271,0.163228
ERR562383,-8.757,-17.9245,100,180,2000,23.699929,36.682629,194.809143,0.180999,0.359566
ERR562483,-5.2669,-85.2732,40,0.8,2000,19.566255,34.900284,103.916711,20.328327,0.728939
ERR562451,23.36,37.2183,5,0.8,5,25.824383,39.74725,188.416583,-0.541919,0
ERR562477,18.5839,66.4727,25,5,20,26.812225,36.332317,192.95875,-0.611888,0.17638
ERR562557,-62.0385,-49.529,5,5,20,0.67108,34.35388,343.4373,27.501159,0.065273
ERR562720,22.1233,38.1983,70,0.8,2000,26.69135,39.031,184.7415,2.517913,0.0954
ERR562570,35.7528,14.2765,60,5,20,18.36839,37.89241,237.8893,,0.132494
ERR562444,-8.9068,-140.283,5,0.8,2000,26.576175,35.359483,189.758333,3.868407,0.319103
ERR562491,-9.1463,-140.515,5,20,180,26.5706,35.408692,190.058667,6.685781,0.219507
ERR562551,-29.5019,37.9889,5,0.8,5,22.165567,35.334717,210.00775,,0.162993
ERR562626,14.6067,69.9775,5,20,180,29.089367,36.024883,187.42925,-1.343153,0.020173
ERR562599,-8.8923,-140.2897,150,20,180,,,,,
ERR562610,-12.9359,-96.0413,5,180,2000,25.2512,35.835267,200.233917,4.590737,0.287892
ERR562516,23.36,37.2183,5,0.8,5,25.824383,39.74725,188.416583,-0.541919,0
ERR562435,-25.8105,-111.7329,5,20,180,25.14875,36.402683,200.538167,-1.567491,0.013449
ERR562384,-25.8162,-111.7349,180,180,2000,20.325407,35.874018,212.877257,0.178539,0.138077
ERR562628,22.085,38.2083,5,180,2000,27.29365,38.94965,184.294833,0.24404,0.070489
ERR562504,39.1633,5.916,5,5,20,23.8526,37.9751,,,-0.0247
ERR562705,42.2038,17.715,5,5,20,17.321979,38.201396,221.457208,,0.0419
ERR562667,-35.1728,26.2868,5,0.8,5,21.81684,35.44666,207.0439,,0.215292
ERR562474,41.6666,2.7962,5,180,2000,,,,,
ERR562579,-16.9741,-100.6683,90,180,2000,20.445864,35.746607,211.719429,2.410016,0.373279
ERR562463,19.0235,64.5256,25,20,180,25.487707,,153.850286,1.282982,0.599901
ERR562554,-29.5018,37.9887,5,180,2000,22.165567,35.334717,210.00775,,0.162993
ERR562381,-47.2007,-57.9446,40,20,200,6.975635,34.057594,306.211529,17.111823,1.01772
ERR562366,38.4367,20.1875,5,180,2000,19.04125,38.363825,214.648333,,0.109164
ERR562575,37.0541,1.9478,42,5,20,17.36746,,,,0.553274
ERR562560,-8.6831,-18.0095,100,5,20,24.611235,36.474071,196.74087,0.315989,0.131719
ERR562630,-16.9601,-100.6335,5,5,20,22.76873,35.97144,208.8654,2.568726,0.203347
ERR562544,-16.9587,-100.6751,90,0.8,2000,19.881449,35.687249,211.54555,1.411516,0.378549
ERR562654,-8.996,-139.2815,5,5,20,26.5644,35.363833,186.984333,5.948386,0.138982
ERR562543,35.7528,14.2765,60,0.8,5,18.36839,37.89241,237.8893,,0.132494
ERR562410,39.3888,19.3905,5,5,20,18.342533,38.182917,218.016833,,0.121845
ERR562514,37.4532,15.4596,65,5,20,18.24971,38.262447,220.830542,,0.154014
ERR562697,-29.5333,37.9117,65,5,20,22.250309,35.335545,207.446227,-0.112031,0.214573
ERR562653,-9.0714,-140.5973,120,0.8,2000,25.221787,35.797875,175.895625,4.458677,0.127609
ERR562621,-8.894,-142.631,5,20,180,26.869383,35.4224,187.791167,6.03141,0.124746
ERR562577,39.2143,19.406,5,180,2000,18.423908,38.1953,217.498,,0.133839
ERR562513,-8.9124,-142.5595,5,5,20,26.869383,35.4224,187.791167,6.03141,0.124746
ERR562625,-9.1504,-140.5216,5,5,20,26.518986,35.396729,190.724,5.111856,0.286662
ERR562532,-31.0266,4.665,5,0.8,5,16.832058,35.68685,231.914833,,0.201517
ERR562424,23.4183,37.245,80,180,2000,26.184,40.18085,182.326,0.465984,0.194527
ERR562387,-62.0773,-49.4534,5,180,2000,0.67108,34.35388,343.4373,27.501159,0.065273
ERR562367,36.5533,-6.5669,40,5,20,20.408907,36.63313,,,0.090621
ERR562452,-16.9601,-100.6335,5,0.8,5,22.76873,35.97144,208.8654,2.568726,0.203347
ERR562681,27.155,34.83,5,20,180,25.0621,39.981867,188.763583,-0.137284,0.048898
ERR562548,39.5705,17.4101,30,5,20,17.256933,38.116167,220.987333,,0.228614
ERR562541,-29.4964,37.9974,60,20,180,22.216956,35.321383,209.389557,-0.166794,0.153769
ERR562469,33.9189,32.8532,70,20,180,17.8897,39.2128,219.195786,-0.887964,0.048429
ERR562668,18.5667,66.522,5,20,180,26.81765,36.285367,193.3535,-1.415582,0.099089
ERR562372,-29.5333,37.9117,65,5,20,22.250309,35.335545,207.446227,-0.112031,0.214573
ERR562529,33.9184,32.86,5,180,2000,20.467475,39.425358,207.909583,-0.147072,0.0233
ERR562624,-21.004,-35.3168,150,180,2000,22.517572,36.946466,205.30592,0.056847,0.092923
ERR562486,20.8116,63.5128,20,20,180,25.268343,36.545436,208.654571,0.387014,0.489547
ERR562411,35.7528,14.2765,80,180,2000,,,,,
ERR562574,-5.2529,-85.1545,5,0.8,2000,24.943108,34.748175,205.992583,11.688971,0.238224
ERR562390,2.0299,-84.5546,30,5,20,26.532035,34.344808,203.127654,3.886605,0.737378
ERR562440,-47.1899,-58.2724,5,180,2000,7.321517,34.048642,305.012167,17.091069,0.310844
ERR562432,-47.2007,-57.9446,40,0.8,2000,6.975635,34.057594,306.211529,17.111823,1.01772
ERR562727,41.6663,2.7994,5,20,180,,,,,
ERR562718,-30.2163,-43.275,5,5,20,20.079183,36.323142,221.56175,-0.415012,0.026898
ERR562641,-32.2401,17.7103,5,0.8,2000,12.83445,34.845292,249.351417,0.405607,1.551493
ERR562449,18.5584,66.4725,25,180,2000,26.748267,36.369233,192.536833,-0.737324,0.242524
ERR562671,-8.7296,-17.9604,100,0.8,2000,24.112672,36.603343,194.428431,0.241265,0.263939
ERR562709,39.0609,5.9422,55,5,20,16.151933,37.8232,,,0.434367
ERR562495,1.9928,-84.5766,5,0.8,2000,27.617558,33.3676,198.635833,1.210114,0.28167
ERR562538,-47.1863,-58.2902,5,0.8,2000,7.321517,34.048642,305.012167,17.091069,0.310844
